,pos,url,crawl_day
148,4,https://www.eldebate.com/espana/20221004/constitucional-espera-renovacion-avalar-bloqueo-pedro-sanchez-cgpj_63909.html#disqus_thread_box,2022-10-04
149,5,https://www.eldebate.com/espana/20221004/tibia-respuesta-borrell-enviado-vox-ante-persecucion-iglesia-nicaragua_63871.html#disqus_thread_box,2022-10-04
150,6,https://www.eldebate.com/sociedad/20221004/ine-oculta-casi-mitad-condenados-agresiones-sexuales-son-extranjeros_63800.html#disqus_thread_box,2022-10-04
151,7,https://www.eldebate.com/economia/20221004/limosna-belarra-hoteles-hunde-temporada-imserso_63693.html#disqus_thread_box,2022-10-04
152,9,https://www.eldebate.com/espana/20221004/cupula-policial-niega-juez-dina-haber-participado-robo-movil-exasesora-pablo-iglesias_63888.html#disqus_thread_box,2022-10-04
153,10,https://www.eldebate.com/economia/bolsa/20221004/credit-suisse-cuenta-23-dias-evitar-convertirse-proximo-lehman-brothers_63837.html#disqus_thread_box,2022-10-04
154,11,https://www.eldebate.com/espana/20221004/nicolas-maduro-y-delcy-rodriguez-se-reunen-con-zapatero-en-caracas_63907.html#disqus_thread_box,2022-10-04
155,12,https://www.eldebate.com/internacional/20221004/asi-submarino-nuclear-ruso-belgorod-apocaliptico-torpedo-poseidon_63823.html#disqus_thread_box,2022-10-04
156,13,https://www.eldebate.com/espana/defensa/20221004/veinte-militares-espanoles-instruyen-exito-ejercito-somali-lucha-contra-yihadismo_63866.html#disqus_thread_box,2022-10-04
157,14,https://www.eldebate.com/historia/20221004/minas-rif_63668.html#disqus_thread_box,2022-10-04
158,15,https://www.eldebate.com/opinion/20221004/bolanos-napoleonchu-mano_63857.html,2022-10-04
159,16,https://www.eldebate.com/opinion/20221004/espana-colosos-literarios_63840.html,2022-10-04
160,17,https://www.eldebate.com/opinion/20221004/espera-china_63872.html,2022-10-04
161,18,https://www.eldebate.com/opinion/20221004/solo-papa-habla-claro-guerra_63735.html,2022-10-04
162,19,https://www.eldebate.com/opinion/20221004/discurso-aproximacion_63773.html#disqus_thread_box,2022-10-04
163,20,https://www.eldebate.com/opinion/en-primera-linea/20221004/mas-alla-anecdota_63720.html#disqus_thread_box,2022-10-04
164,21,https://www.eldebate.com/opinion/tribuna/20221004/ussia-circunstancias-ii_63731.html#disqus_thread_box,2022-10-04
165,22,https://www.eldebate.com/opinion/tribuna/20221004/ussia-circunstancias-ii_63731.html#disqus_thread_box,2022-10-04
166,23,https://www.eldebate.com/opinion/tribuna/20221004/ussia-circunstancias-ii_63731.html#disqus_thread_box,2022-10-04
167,24,https://www.eldebate.com/opinion/tribuna/20221004/ussia-circunstancias-ii_63731.html#disqus_thread_box,2022-10-04
168,25,https://www.eldebate.com/salud-y-bienestar/salud/20221004/descubiertas-superneuronas-mejoran-memoria-cerebros-superancianos_63687.html#disqus_thread_box,2022-10-04
169,26,https://www.eldebate.com/salud-y-bienestar/20221004/asi-funciona-pancreas-bionico-mejora-vida-diabeticos_63701.html#disqus_thread_box,2022-10-04
170,27,https://www.eldebate.com/salud-y-bienestar/salud/20221004/hormona-abrazo-repara-celulas-danadas-despues-ataque-corazon_63683.html#disqus_thread_box,2022-10-04
171,28,https://www.eldebate.com/salud-y-bienestar/salud/20221004/pueden-humanos-contraer-rabia_63371.html#disqus_thread_box,2022-10-04
172,29,https://www.eldebate.com/espana/defensa/20221004/primer-despliegue-portaaviones-nuclear-uss-gerald-ford-20-barcos-60-aviones-9-naciones_63890.html#disqus_thread_box,2022-10-04
173,30,https://www.eldebate.com/sociedad/20221004/asi-protocolo-comunidad-madrid-detectar-pandilleros-aulas_63834.html#disqus_thread_box,2022-10-04
174,32,https://www.eldebate.com/opinion/20221004/ley-celaa-ley-woke_63684.html,2022-10-04
